Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ImageLeft,Spreadsheet: ImageRight,Spreadsheet: ImageCentre,Spreadsheet: TextLeft,Spreadsheet: TextRight,Spreadsheet: TextCentre,Spreadsheet: Answer,Spreadsheet: OrLeft,Spreadsheet: OrRight,Spreadsheet: metadata,Spreadsheet: metadata2,Spreadsheet: randomize_superBlock,Manipulation: Spreadsheet
368,1689093899325,11/07/2023 16:44:59,1689079499325,-4,11/07/2023 08:44:59,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,171,trials,Screen 1,9h6dqb,1,response,right,883.8709999999846,882.8489999999874,883.8709999999846,883.8709999999846,882.8489999999874,883.8709999999846,1,883.8709999999846,0,0,,Keyboard Response,keyboard,10,object-73,trials,1,5,af00009_fg.png,wf00009_fg.png,blank.png,Intelligence,Stupidity,Foolish,right,or,or,incongruent,incon_Int,,
369,1689093900491,11/07/2023 16:45:00,1689079500491,-4,11/07/2023 08:45:00,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,171,trials,Screen 2,vtanvj,2,continue,,666.439000000013,666.439000000013,666.439000000013,666.439000000013,666.439000000013,666.439000000013,1,666.439000000013,0,0,,Fixation Timing,Fixation,1,object-77,trials,1,5,af00009_fg.png,wf00009_fg.png,blank.png,Intelligence,Stupidity,Foolish,right,or,or,incongruent,incon_Int,,
370,1689093901347,11/07/2023 16:45:01,1689079501347,-4,11/07/2023 08:45:01,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,172,trials,Screen 1,9h6dqb,1,response,right,856.7179999880609,850.030999999959,856.7179999880609,856.7179999880609,850.030999999959,856.7179999880609,1,856.7179999880609,0,0,,Keyboard Response,keyboard,10,object-73,trials,1,5,af00009_fg.png,wf00009_fg.png,blank.png,Intelligence,Stupidity,Mindless,right,or,or,incongruent,incon_Int,,
371,1689093902508,11/07/2023 16:45:02,1689079502508,-4,11/07/2023 08:45:02,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,172,trials,Screen 2,vtanvj,2,continue,,666.75900000002,666.75900000002,666.75900000002,666.75900000002,666.75900000002,666.75900000002,1,666.75900000002,0,0,,Fixation Timing,Fixation,1,object-77,trials,1,5,af00009_fg.png,wf00009_fg.png,blank.png,Intelligence,Stupidity,Mindless,right,or,or,incongruent,incon_Int,,
372,1689093903205,11/07/2023 16:45:03,1689079503205,-4,11/07/2023 08:45:03,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,173,trials,Screen 1,9h6dqb,1,response,left,697.9429999910644,683.2420000000275,697.9429999910644,697.9429999910644,683.2420000000275,697.9429999910644,1,697.9429999910644,0,0,,Keyboard Response,keyboard,10,object-73,trials,1,5,af00009_fg.png,wf00009_fg.png,blank.png,Intelligence,Stupidity,Educated,left,or,or,incongruent,incon_Int,,
373,1689093904357,11/07/2023 16:45:04,1689079504357,-4,11/07/2023 08:45:04,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,173,trials,Screen 2,vtanvj,2,continue,,666.7029999999795,666.7029999999795,666.7029999999795,666.7029999999795,666.7029999999795,666.7029999999795,1,666.7029999999795,0,0,,Fixation Timing,Fixation,1,object-77,trials,1,5,af00009_fg.png,wf00009_fg.png,blank.png,Intelligence,Stupidity,Educated,left,or,or,incongruent,incon_Int,,
374,1689093905254,11/07/2023 16:45:05,1689079505254,-4,11/07/2023 08:45:05,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,174,trials,Screen 1,9h6dqb,1,response,right,897.0299999880954,883.1930000000284,897.0299999880954,897.0299999880954,883.1930000000284,897.0299999880954,0,897.0299999880954,0,0,,Keyboard Response,keyboard,10,object-73,trials,1,5,af00009_fg.png,wf00009_fg.png,am00011_fg.png,Intelligence,Stupidity,,left,or,or,incongruent,incon_Int,,
375,1689093906407,11/07/2023 16:45:06,1689079506407,-4,11/07/2023 08:45:06,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,174,trials,Screen 2,vtanvj,2,continue,,666.6960000000545,666.6960000000545,666.6960000000545,666.6960000000545,666.6960000000545,666.6960000000545,1,666.6960000000545,0,0,,Fixation Timing,Fixation,1,object-77,trials,1,5,af00009_fg.png,wf00009_fg.png,am00011_fg.png,Intelligence,Stupidity,,left,or,or,incongruent,incon_Int,,
376,1689093906935,11/07/2023 16:45:06,1689079506935,-4,11/07/2023 08:45:06,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,175,trials,Screen 1,9h6dqb,1,response,left,528.7819999940111,516.5889999999781,528.7819999940111,528.7819999940111,516.5889999999781,528.7819999940111,1,528.7819999940111,0,0,,Keyboard Response,keyboard,10,object-73,trials,1,5,af00009_fg.png,wf00009_fg.png,af00002_fg.png,Intelligence,Stupidity,,left,or,or,incongruent,incon_Int,,
377,1689093908090,11/07/2023 16:45:08,1689079508090,-4,11/07/2023 08:45:08,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,175,trials,Screen 2,vtanvj,2,continue,,666.5480000000098,666.5480000000098,666.5480000000098,666.5480000000098,666.5480000000098,666.5480000000098,1,666.5480000000098,0,0,,Fixation Timing,Fixation,1,object-77,trials,1,5,af00009_fg.png,wf00009_fg.png,af00002_fg.png,Intelligence,Stupidity,,left,or,or,incongruent,incon_Int,,
378,1689093908709,11/07/2023 16:45:08,1689079508709,-4,11/07/2023 08:45:08,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,176,trials,Screen 1,9h6dqb,1,response,right,619.1219999999739,616.5959999999614,619.1219999999739,619.1219999999739,616.5959999999614,619.1219999999739,1,619.1219999999739,0,0,,Keyboard Response,keyboard,10,object-73,trials,1,5,af00009_fg.png,wf00009_fg.png,wf00009_fg.png,Intelligence,Stupidity,,right,or,or,incongruent,incon_Int,,
379,1689093909873,11/07/2023 16:45:09,1689079509873,-4,11/07/2023 08:45:09,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,176,trials,Screen 2,vtanvj,2,continue,,666.5559999999823,666.5559999999823,666.5559999999823,666.5559999999823,666.5559999999823,666.5559999999823,1,666.5559999999823,0,0,,Fixation Timing,Fixation,1,object-77,trials,1,5,af00009_fg.png,wf00009_fg.png,wf00009_fg.png,Intelligence,Stupidity,,right,or,or,incongruent,incon_Int,,
380,1689093910896,11/07/2023 16:45:10,1689079510896,-4,11/07/2023 08:45:10,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,177,trials,Screen 1,9h6dqb,1,response,left,1023.7399999940535,1016.5730000000331,1023.7399999940535,1023.7399999940535,1016.5730000000331,1023.7399999940535,1,1023.7399999940535,0,0,,Keyboard Response,keyboard,10,object-73,trials,1,5,af00009_fg.png,wf00009_fg.png,blank.png,Intelligence,Stupidity,Bright,left,or,or,incongruent,incon_Int,,
381,1689093912056,11/07/2023 16:45:12,1689079512056,-4,11/07/2023 08:45:12,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,177,trials,Screen 2,vtanvj,2,continue,,666.5380000000005,666.5380000000005,666.5380000000005,666.5380000000005,666.5380000000005,666.5380000000005,1,666.5380000000005,0,0,,Fixation Timing,Fixation,1,object-77,trials,1,5,af00009_fg.png,wf00009_fg.png,blank.png,Intelligence,Stupidity,Bright,left,or,or,incongruent,incon_Int,,
382,1689093912665,11/07/2023 16:45:12,1689079512665,-4,11/07/2023 08:45:12,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,178,trials,Screen 1,9h6dqb,1,response,right,609.4289999970351,599.9310000000405,609.4289999970351,609.4289999970351,599.9310000000405,609.4289999970351,1,609.4289999970351,0,0,,Keyboard Response,keyboard,10,object-73,trials,1,5,af00009_fg.png,wf00009_fg.png,wf00004_fg.png,Intelligence,Stupidity,,right,or,or,incongruent,incon_Int,,
383,1689093913822,11/07/2023 16:45:13,1689079513822,-4,11/07/2023 08:45:13,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,178,trials,Screen 2,vtanvj,2,continue,,666.5250000000233,666.5250000000233,666.5250000000233,666.5250000000233,666.5250000000233,666.5250000000233,1,666.5250000000233,0,0,,Fixation Timing,Fixation,1,object-77,trials,1,5,af00009_fg.png,wf00009_fg.png,wf00004_fg.png,Intelligence,Stupidity,,right,or,or,incongruent,incon_Int,,
384,1689093914477,11/07/2023 16:45:14,1689079514477,-4,11/07/2023 08:45:14,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,179,trials,Screen 1,9h6dqb,1,response,right,654.7029999999795,649.7399999999907,654.7029999999795,654.7029999999795,649.7399999999907,654.7029999999795,1,654.7029999999795,0,0,,Keyboard Response,keyboard,10,object-73,trials,1,5,af00009_fg.png,wf00009_fg.png,blank.png,Intelligence,Stupidity,Moronic,right,or,or,incongruent,incon_Int,,
385,1689093915639,11/07/2023 16:45:15,1689079515639,-4,11/07/2023 08:45:15,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,179,trials,Screen 2,vtanvj,2,continue,,666.6610000000219,666.6610000000219,666.6610000000219,666.6610000000219,666.6610000000219,666.6610000000219,1,666.6610000000219,0,0,,Fixation Timing,Fixation,1,object-77,trials,1,5,af00009_fg.png,wf00009_fg.png,blank.png,Intelligence,Stupidity,Moronic,right,or,or,incongruent,incon_Int,,
386,1689093916377,11/07/2023 16:45:16,1689079516377,-4,11/07/2023 08:45:16,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,180,trials,Screen 1,9h6dqb,1,response,right,738.9539999940316,733.2069999999949,738.9539999940316,738.9539999940316,733.2069999999949,738.9539999940316,1,738.9539999940316,0,0,,Keyboard Response,keyboard,10,object-73,trials,1,5,af00009_fg.png,wf00009_fg.png,blank.png,Intelligence,Stupidity,Gullible,right,or,or,incongruent,incon_Int,,
